,ID,Timestamp,Message Length,Punctuation Count,Has Attachments
163,867246690766684192,2021-07-21 03:28:43.743000+00:00,4,0,0
164,866886805021786162,2021-07-20 03:38:40.295000+00:00,3,0,1
165,866875619601547285,2021-07-20 02:54:13.483000+00:00,17,0,0
166,866875588731207681,2021-07-20 02:54:06.123000+00:00,21,0,0
167,866873821301571614,2021-07-20 02:47:04.735000+00:00,22,1,0
168,866841480412921877,2021-07-20 00:38:34.066000+00:00,37,0,0
169,866841457771544597,2021-07-20 00:38:28.668000+00:00,4,0,0
170,866485654799646770,2021-07-19 01:04:38.629000+00:00,6,0,0
171,866294372936974366,2021-07-18 12:24:33.479000+00:00,21,0,0
172,866294333115465728,2021-07-18 12:24:23.985000+00:00,3,0,1
173,865807445838135316,2021-07-17 04:09:41.012000+00:00,10,0,0
174,865807410971017217,2021-07-17 04:09:32.699000+00:00,5,0,0
175,865779177915547659,2021-07-17 02:17:21.414000+00:00,44,1,0
176,865423831137124373,2021-07-16 02:45:20.140000+00:00,11,0,0
177,865423815059832842,2021-07-16 02:45:16.307000+00:00,22,1,0
178,865422297422626836,2021-07-16 02:39:14.474000+00:00,63,1,0
179,865422253709197342,2021-07-16 02:39:04.052000+00:00,14,0,0
180,865422221487636490,2021-07-16 02:38:56.370000+00:00,1,0,0
181,865415733995503616,2021-07-16 02:13:09.631000+00:00,5,0,0
182,865412848661168138,2021-07-16 02:01:41.714000+00:00,39,1,0
183,865412477683236868,2021-07-16 02:00:13.266000+00:00,1,0,0
184,865412312710381618,2021-07-16 01:59:33.933000+00:00,33,0,0
185,865412290131787816,2021-07-16 01:59:28.550000+00:00,3,0,1
186,865411921586028544,2021-07-16 01:58:00.682000+00:00,7,0,0
187,865388380027879464,2021-07-16 00:24:27.937000+00:00,8,0,0
188,865388369794039849,2021-07-16 00:24:25.497000+00:00,4,0,0
189,865388348533112843,2021-07-16 00:24:20.428000+00:00,22,1,0
190,865117779018776587,2021-07-15 06:29:11.629000+00:00,22,1,0
191,865108924943171625,2021-07-15 05:54:00.653000+00:00,5,0,0
192,865108910964736020,2021-07-15 05:53:57.320000+00:00,22,1,0
193,865108895517245491,2021-07-15 05:53:53.637000+00:00,22,1,0
194,864925295148269618,2021-07-14 17:44:19.898000+00:00,22,1,0
195,864907474771640340,2021-07-14 16:33:31.189000+00:00,19,0,0
196,864907332017717279,2021-07-14 16:32:57.154000+00:00,5,0,0
197,864907326188159006,2021-07-14 16:32:55.764000+00:00,3,0,0
198,864904727754047489,2021-07-14 16:22:36.249000+00:00,37,1,0
199,864904685336526848,2021-07-14 16:22:26.136000+00:00,22,1,0
200,864725032818966548,2021-07-14 04:28:33.638000+00:00,1,0,1
201,864547676640378931,2021-07-13 16:43:48.630000+00:00,24,0,0
202,864540458927783997,2021-07-13 16:15:07.793000+00:00,18,0,0
203,864540420134273105,2021-07-13 16:14:58.544000+00:00,4,0,0
204,864395374412038144,2021-07-13 06:38:36.949000+00:00,44,2,0
205,864296135741014026,2021-07-13 00:04:16.606000+00:00,59,1,0
206,864216303802646608,2021-07-12 18:47:03.189000+00:00,52,1,0
207,863619947695833089,2021-07-11 03:17:20.813000+00:00,77,1,0
208,863555173627723816,2021-07-10 22:59:57.472000+00:00,24,0,0
209,863555144629092363,2021-07-10 22:59:50.558000+00:00,4,0,0
210,863431089451827220,2021-07-10 14:46:53.499000+00:00,26,1,0
211,863307456478445599,2021-07-10 06:35:37.101000+00:00,17,0,0
212,863307427176120331,2021-07-10 06:35:30.115000+00:00,12,0,0
